City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
203,Hithadhoo,MV,80.55,broken clouds,-0.6,73.0833,Scoop Guest House
208,Marsh Harbour,BS,77.09,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
209,Atar,MR,72.21,clear sky,20.5169,-13.0499,Oumou Elghoura
210,Lingao,CN,73.71,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
213,Manggar,ID,78.21,light rain,-2.8833,108.2667,Guest Hotel
214,Beyla,GN,70.95,overcast clouds,8.6833,-8.6333,DIAN SINKO
219,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
221,Noumea,NC,79.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
223,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
224,Magdalena,PH,75.34,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
231,Dong Hoi,VN,74.71,overcast clouds,17.4833,106.6,Nam Long Hotel
232,Ipixuna,BR,79.99,overcast clouds,-1.7625,-48.8043,Chalé do Mato
235,Comodoro Rivadavia,AR,69.66,clear sky,-45.8667,-67.5,Austral Hotel
241,Imbituba,BR,71.06,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
244,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
245,Bengkulu,ID,73.92,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
251,Kribi,CM,76.91,overcast clouds,2.95,9.9167,La Grace Hôtel
253,Carutapera,BR,79.23,few clouds,-1.195,-46.02,Lidera
254,Bikaner,IN,66.29,overcast clouds,28.0167,73.3,The Laxmi Niwas Palace
256,Bicas,BR,65.7,overcast clouds,-21.7253,-43.0594,Hotel Água Santa
259,Nguru,NG,74.55,clear sky,12.8791,10.4526,Government Lodge
260,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
261,La Asuncion,VE,71.33,light rain,11.0333,-63.8628,Colinas de Matasiete
262,Chimbote,PE,67.51,broken clouds,-9.0853,-78.5783,Hotel Briliá
265,Santa Luzia,BR,78.94,few clouds,-19.7697,-43.8514,Pousada Chao Earth
266,Fare,PF,78.39,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
267,Akyab,MM,76.48,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
268,Biltine,TD,74.88,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
270,Santo Tomas,PH,75.56,light rain,14.1079,121.1414,Microtel by Wyndham Batangas
275,Key Largo,US,79.0,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
276,Dubbo,AU,66.33,clear sky,-32.25,148.6167,Quality Inn Dubbo International
277,Ambilobe,MG,73.69,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
283,Laguna,US,66.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
293,Kikwit,CD,70.95,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
295,Yarada,IN,72.21,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
304,Bardiyah,LY,69.55,scattered clouds,31.7561,25.0865,بورتو بردية
308,Pacific Grove,US,71.28,clear sky,36.6177,-121.9166,Lovers Point Inn
310,Puerto Leguizamo,CO,81.41,overcast clouds,-0.1934,-74.7819,la casona de juancho
311,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
312,Ngunguru,NZ,67.93,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
319,Cockburn Town,TC,80.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
324,Santa Rosa,PH,76.98,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
331,Coquimbo,CL,65.93,broken clouds,-29.9533,-71.3436,Hotel San Juan
334,Bowen,AU,81.64,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
335,Hatillo,PR,83.08,overcast clouds,18.4863,-66.8254,El Buen Hotel
338,Angoche,MZ,77.7,clear sky,-16.2325,39.9086,Guest House HESADA
340,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
343,Bubaque,GW,83.66,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
349,Vanimo,PG,80.37,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
351,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
353,Bapatla,IN,67.48,overcast clouds,15.9,80.4667,Kumar Hotel
357,Soyo,AO,77.52,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
358,Luganville,VU,84.4,few clouds,-15.5333,167.1667,The Espiritu Hotel
361,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
365,Quatre Cocos,MU,69.91,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
367,Mitsamiouli,KM,77.81,clear sky,-11.3847,43.2844,Foyer ADM
369,Zemio,CF,71.13,overcast clouds,5.0314,25.1361,OCHA Office
377,Bandarbeyla,SO,79.34,light rain,9.4942,50.8122,JABIR HOTEL
379,Sur,OM,76.05,clear sky,22.5667,59.5289,Sur Plaza Hotel
382,Tumpat,MY,75.18,few clouds,6.1978,102.171,Baan Tanyong B&B
384,Honiara,SB,84.07,broken clouds,-9.4333,159.95,Heritage Park Hotel
385,Kahului,US,84.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
387,La Primavera,CO,80.15,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
388,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
