City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cayenne,GF,4.9333,-52.3333,82.44,78,0,2.3,clear sky
80,Tiksi,RU,71.6872,128.8694,-5.93,97,100,6.78,overcast clouds
81,Thompson,CA,55.7435,-97.8558,1.56,78,100,8.05,light snow
82,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,100,14.97,light snow
83,Ilulissat,GL,69.2167,-51.1,13.55,77,29,4.63,scattered clouds
84,Norman Wells,CA,65.282,-126.8329,14.04,85,75,0.0,broken clouds
85,Kurchum,KZ,48.5722,83.6542,26.47,95,100,9.13,light snow
86,Hami,CN,42.8,93.45,37.58,48,100,4.92,overcast clouds
87,Huangchuan,CN,32.1272,115.0394,53.22,82,0,1.07,clear sky
88,Port Elizabeth,ZA,-33.918,25.5701,57.09,85,0,10.02,clear sky
89,Bonfim,BR,3.0833,-59.95,86.25,60,99,2.82,overcast clouds
90,Pancesti,RO,46.3333,27.0833,36.0,84,100,4.81,light rain
91,El Alto,PE,-4.2714,-81.2147,69.46,71,79,16.15,broken clouds
92,New Norfolk,AU,-42.7826,147.0587,54.91,73,100,4.0,light rain
93,Stanovoye,RU,52.7638,38.3582,29.82,98,100,5.7,light snow
94,Port-Cartier,CA,50.0334,-66.8654,24.75,82,82,6.58,broken clouds
95,Kodiak,US,57.79,-152.4072,40.51,87,100,11.5,moderate rain
96,Maningrida,AU,-12.0667,134.2667,82.35,78,92,1.52,overcast clouds
97,Saskylakh,RU,71.9167,114.0833,-17.48,100,97,1.7,overcast clouds
98,Hay River,CA,60.8156,-115.7999,24.78,46,75,9.22,broken clouds
99,Tasiilaq,GL,65.6145,-37.6368,39.36,69,100,10.76,overcast clouds
100,Sai Buri,TH,6.7013,101.6168,74.97,89,98,5.19,overcast clouds
101,East London,ZA,-33.0153,27.9116,61.41,74,0,11.48,clear sky
102,Kapaa,US,22.0752,-159.319,80.92,76,40,17.27,light rain
103,Georgetown,MY,5.4112,100.3354,78.89,92,20,3.44,few clouds
104,Qaanaaq,GL,77.484,-69.3632,-3.75,58,17,7.43,few clouds
105,Sorland,NO,67.667,12.6934,44.46,56,0,6.73,clear sky
106,Chuy,UY,-33.6971,-53.4616,71.24,77,100,15.35,overcast clouds
107,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,23.02,few clouds
108,Maniitsoq,GL,65.4167,-52.9,22.12,81,71,8.72,broken clouds
109,Codrington,AU,-38.2667,141.9667,51.39,87,11,16.08,few clouds
110,Najran,SA,17.4924,44.1277,61.45,34,0,0.85,clear sky
111,Skelleftea,SE,64.7507,20.9528,27.0,100,100,4.61,overcast clouds
112,Kavieng,PG,-2.5744,150.7967,82.36,70,92,11.39,overcast clouds
113,Hermanus,ZA,-34.4187,19.2345,53.8,76,6,1.45,clear sky
114,Srednekolymsk,RU,67.45,153.6833,-21.89,98,84,10.71,broken clouds
115,Spirit River,CA,55.7833,-118.8361,28.83,65,49,5.59,scattered clouds
116,Sitka,US,57.0531,-135.33,48.09,61,75,23.02,broken clouds
117,Balabac,PH,7.9868,117.0645,79.18,84,100,6.04,moderate rain
118,Millbrook,US,32.4799,-86.3619,54.32,49,40,3.44,scattered clouds
119,Umm Lajj,SA,25.0213,37.2685,76.96,65,0,10.04,clear sky
120,Didao,CN,45.3667,130.8,36.39,98,100,8.77,overcast clouds
121,Paamiut,GL,61.994,-49.6678,23.38,77,65,12.06,broken clouds
122,Fortuna,US,40.5982,-124.1573,63.93,47,0,1.01,clear sky
123,Tura,IN,25.5198,90.2201,60.51,53,100,3.22,overcast clouds
124,Aklavik,CA,68.2191,-135.0107,30.2,93,100,8.05,light snow
125,Kilindoni,TZ,-7.9139,39.6668,78.85,81,94,9.1,overcast clouds
126,Marzuq,YE,14.4,46.4667,65.88,54,6,1.68,clear sky
127,Vardo,NO,70.3705,31.1107,37.38,75,100,12.66,overcast clouds
128,Boa Vista,BR,2.8197,-60.6733,78.78,89,40,5.75,light intensity shower rain
129,Nemuro,JP,43.3236,145.575,42.33,65,76,6.38,broken clouds
130,Port Augusta,AU,-32.5,137.7667,58.14,59,4,15.19,clear sky
131,Cabo San Lucas,MX,22.8909,-109.9124,83.61,60,75,6.91,broken clouds
132,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,86,36,4.68,scattered clouds
133,Nishihara,JP,26.1842,127.7558,74.48,83,40,8.05,scattered clouds
134,Mumbwa,ZM,-14.9783,27.0619,70.57,32,1,3.04,clear sky
135,Tiarei,PF,-17.5333,-149.3333,80.62,88,95,8.01,light rain
136,Richards Bay,ZA,-28.783,32.0377,66.87,79,100,16.93,light rain
137,Nuuk,GL,64.1835,-51.7216,30.81,86,0,4.61,clear sky
138,Nome,US,64.5011,-165.4064,33.87,87,100,0.0,overcast clouds
139,Coahuayana,MX,18.7333,-103.6833,85.87,57,99,6.33,overcast clouds
140,Pleshanovo,RU,52.8333,53.4833,32.13,96,100,10.94,overcast clouds
141,Victoria,HK,22.2855,114.1577,75.38,87,100,5.01,overcast clouds
142,Chokurdakh,RU,70.6333,147.9167,-7.49,97,100,12.24,overcast clouds
143,Clyde River,CA,70.4692,-68.5914,-18.54,94,33,2.57,scattered clouds
144,Clyde,US,41.3042,-82.9752,31.57,47,99,19.93,overcast clouds
145,Pemangkat,ID,1.1667,108.9667,78.49,85,100,9.1,light rain
146,Mackay,AU,-21.15,149.2,82.69,80,100,15.01,overcast clouds
147,Salta,AR,-24.7859,-65.4117,90.57,29,20,17.27,few clouds
148,Taoudenni,ML,22.6783,-3.9836,76.01,11,0,7.27,clear sky
149,Lazaro Cardenas,MX,17.9583,-102.2,83.37,67,53,8.46,broken clouds
150,Trelew,AR,-43.249,-65.3051,68.27,30,0,20.71,clear sky
151,Kaka,TM,37.3482,59.6143,56.79,56,0,0.94,clear sky
152,Wanning,CN,18.8003,110.3967,75.36,91,99,7.94,overcast clouds
153,Price,US,39.5994,-110.8107,41.11,30,0,4.61,clear sky
154,Sibolga,ID,1.7427,98.7792,74.17,92,100,2.01,overcast clouds
155,Narsaq,GL,60.9167,-46.05,26.82,74,100,6.58,overcast clouds
156,Deputatskiy,RU,69.3,139.9,-28.91,97,48,4.76,scattered clouds
157,Port-Gentil,GA,-0.7193,8.7815,80.56,83,100,13.8,light rain
158,Kampene,CD,-3.6,26.6667,65.73,92,33,1.79,scattered clouds
159,Butaritari,KI,3.0707,172.7902,80.85,72,39,18.9,scattered clouds
160,Asosa,ET,10.0667,34.5333,65.5,52,60,3.98,broken clouds
161,Satun,TH,6.8333,100.0,75.2,95,88,1.57,overcast clouds
162,Khatanga,RU,71.9667,102.5,-28.48,97,100,1.52,overcast clouds
163,Rocky Mountain House,CA,52.3668,-114.9188,42.91,24,30,0.0,scattered clouds
164,Sokolac,BA,43.9397,18.8017,40.17,99,100,3.36,moderate rain
165,Naze,JP,28.3667,129.4833,67.12,87,38,12.01,scattered clouds
166,Yantal,RU,56.8471,105.2542,-5.96,99,29,3.22,scattered clouds
167,Ostrovnoy,RU,68.0531,39.5131,25.02,94,64,10.25,broken clouds
168,Korla,CN,41.7597,86.1469,36.54,43,77,7.4,broken clouds
169,Metro,ID,-5.1131,105.3067,73.35,90,100,3.51,overcast clouds
170,Walvis Bay,NA,-22.9575,14.5053,63.55,67,100,5.75,overcast clouds
171,Meulaboh,ID,4.1363,96.1285,75.29,91,100,3.33,overcast clouds
172,Parana,AR,-31.732,-60.5238,98.69,14,50,10.2,scattered clouds
173,Cabra,ES,37.4725,-4.4421,48.18,64,55,1.7,broken clouds
174,Avarua,CK,-21.2078,-159.775,78.85,65,75,10.36,broken clouds
175,Sept-Iles,CA,50.2001,-66.3821,25.05,69,20,9.22,few clouds
176,Xichang,CN,27.8964,102.2634,44.47,72,81,0.72,broken clouds
177,Koslan,RU,63.4564,48.8989,14.14,90,27,8.61,scattered clouds
178,Labuhan,ID,-6.8844,112.2051,78.31,86,71,5.99,broken clouds
