City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Busselton,AU,2022-11-17 00:49:41,-33.65,115.3333,59.9,70,98,19.35
67,Fare,PF,2022-11-17 00:49:37,-16.7,-151.0167,79.23,74,100,4.21
68,Callaway,US,2022-11-17 00:49:42,30.153,-85.5699,53.53,69,0,11.5
69,Thompson,CA,2022-11-17 00:45:23,55.7435,-97.8558,15.96,92,100,11.5
70,West Bay,KY,2022-11-17 00:49:42,19.3667,-81.4167,82.47,82,20,10.36
71,Butaritari,KI,2022-11-17 00:49:43,3.0707,172.7902,81.18,73,20,17.58
72,Longyearbyen,SJ,2022-11-17 00:49:43,78.2186,15.6401,22.84,68,20,13.8
73,Quatre Cocos,MU,2022-11-17 00:49:43,-20.2078,57.7625,68.11,66,30,4.74
74,Huarmey,PE,2022-11-17 00:49:44,-10.0681,-78.1522,65.01,85,100,9.04
75,Carnarvon,AU,2022-11-17 00:49:40,-24.8667,113.6333,67.73,54,100,14.36
76,Marau,BR,2022-11-17 00:49:45,-28.4492,-52.2,58.35,66,0,4.03
77,Estelle,US,2022-11-17 00:49:45,29.8458,-90.1067,52.0,62,75,12.66
78,Saskylakh,RU,2022-11-17 00:49:45,71.9167,114.0833,-25.17,98,100,4.7
79,Tasiilaq,GL,2022-11-17 00:49:46,65.6145,-37.6368,37.56,80,100,28.63
80,Laguna,US,2022-11-17 00:49:46,38.421,-121.4238,66.49,42,0,0.0
81,Meulaboh,ID,2022-11-17 00:49:46,4.1363,96.1285,76.68,87,100,3.96
82,Iqaluit,CA,2022-11-17 00:49:47,63.7506,-68.5145,6.53,78,100,4.61
83,Nosy Varika,MG,2022-11-17 00:49:47,-20.5833,48.5333,71.74,92,83,7.58
84,Goderich,CA,2022-11-17 00:49:48,43.7501,-81.7165,36.91,100,100,4.61
85,Geraldton,AU,2022-11-17 00:49:48,-28.7667,114.6,66.61,59,100,16.11
86,Codrington,AU,2022-11-17 00:49:48,-38.2667,141.9667,58.21,65,89,9.71
87,Touros,BR,2022-11-17 00:49:49,-5.1989,-35.4608,78.69,70,0,12.44
88,Nizhniy Kuranakh,RU,2022-11-17 00:49:49,58.8353,125.4869,10.08,96,100,1.86
89,Itarema,BR,2022-11-17 00:46:45,-2.9248,-39.9167,78.76,71,4,15.57
90,Rikitea,PF,2022-11-17 00:49:50,-23.1203,-134.9692,73.27,89,100,24.02
91,Cherskiy,RU,2022-11-17 00:49:50,68.75,161.3,1.35,97,100,2.8
92,Misratah,LY,2022-11-17 00:50:50,32.3754,15.0925,70.07,39,0,12.59
93,Adrar,MR,2022-11-17 00:50:51,20.5022,-10.0711,73.4,23,0,10.65
94,Lebu,CL,2022-11-17 00:50:51,-37.6167,-73.65,56.52,93,16,8.16
95,Barrow,US,2022-11-17 00:50:52,71.2906,-156.7887,28.42,74,0,19.57
96,Georgetown,MY,2022-11-17 00:48:34,5.4112,100.3354,82.24,93,20,3.44
97,Puerto Tejada,CO,2022-11-17 00:50:52,3.2311,-76.4167,75.15,97,100,2.51
98,Kaitangata,NZ,2022-11-17 00:50:53,-46.2817,169.8464,60.44,74,81,6.17
99,Airai,TL,2022-11-17 00:46:57,-8.9266,125.4092,72.21,60,54,1.28
100,Nahavand,IR,2022-11-17 00:50:53,34.1885,48.377,45.41,84,60,2.82
101,Xiongzhou,CN,2022-11-17 00:50:54,25.1167,114.3,66.92,90,98,3.38
102,Taitung,TW,2022-11-17 00:50:54,22.7583,121.1444,79.07,73,40,2.3
103,Severo-Kurilsk,RU,2022-11-17 00:50:55,50.6789,156.125,35.46,62,100,5.91
104,Barra Patuca,HN,2022-11-17 00:50:55,15.8,-84.2833,78.67,86,100,8.52
105,Vestmannaeyjar,IS,2022-11-17 00:50:55,63.4427,-20.2734,47.61,85,100,35.16
106,Lagoa,PT,2022-11-17 00:50:56,39.05,-27.9833,62.19,66,100,21.54
107,Bandiagara,ML,2022-11-17 00:50:56,14.3501,-3.6104,74.28,16,27,9.98
108,Ust-Tsilma,RU,2022-11-17 00:50:56,65.441,52.1498,-4.54,100,47,3.91
109,Faanui,PF,2022-11-17 00:46:44,-16.4833,-151.75,79.48,72,86,1.68
110,Rio Grande,BR,2022-11-17 00:48:21,-32.035,-52.0986,68.11,63,0,5.55
111,Bluff,NZ,2022-11-17 00:50:57,-46.6,168.3333,58.8,87,100,12.66
112,Ballina,AU,2022-11-17 00:50:58,-28.8667,153.5667,70.02,45,31,11.97
113,Kavaratti,IN,2022-11-17 00:50:58,10.5669,72.642,81.59,72,100,4.56
114,Nanortalik,GL,2022-11-17 00:50:58,60.1432,-45.2371,21.29,78,53,19.04
115,Hovd,MN,2022-11-17 00:50:59,48.0056,91.6419,28.13,48,9,12.48
116,Bumba,CD,2022-11-17 00:50:59,2.1833,22.4667,69.42,98,100,2.3
117,Burnie,AU,2022-11-17 00:51:00,-41.0667,145.9167,57.94,55,38,6.96
118,Litovko,RU,2022-11-17 00:51:00,49.2361,135.1742,26.31,75,38,7.36
119,Constitucion,CL,2022-11-17 00:51:00,-35.3333,-72.4167,57.22,83,19,12.41
120,Port Augusta,AU,2022-11-17 00:51:01,-32.5,137.7667,71.26,29,0,7.31
121,Vavuniya,LK,2022-11-17 00:51:01,8.7514,80.4971,69.6,86,100,2.57
122,Kavieng,PG,2022-11-17 00:51:01,-2.5744,150.7967,84.81,68,97,9.57
123,Tura,IN,2022-11-17 00:48:11,25.5198,90.2201,62.58,88,0,3.85
124,Hamilton,US,2022-11-17 00:46:27,39.1834,-84.5333,34.93,85,100,10.36
125,Leningradskiy,RU,2022-11-17 00:51:02,69.3833,178.4167,6.37,93,100,3.56
126,Tuktoyaktuk,CA,2022-11-17 00:51:03,69.4541,-133.0374,14.0,73,40,10.36
127,Hambantota,LK,2022-11-17 00:51:03,6.1241,81.1185,73.74,100,20,1.14
128,Kanker,IN,2022-11-17 00:51:03,20.2719,81.4931,56.21,67,6,1.5
129,Saint George,US,2022-11-17 00:49:48,37.1041,-113.5841,52.39,30,0,0.0
130,Kawalu,ID,2022-11-17 00:51:04,-7.3817,108.2082,80.31,79,46,1.74
131,Bambous Virieux,MU,2022-11-17 00:51:04,-20.3428,57.7575,68.25,83,40,2.3
132,Ponta Do Sol,PT,2022-11-17 00:51:05,32.6667,-17.1,69.71,85,72,7.76
133,Ambilobe,MG,2022-11-17 00:51:05,-13.2,49.05,71.98,90,95,2.01
134,Rovaniemi,FI,2022-11-17 00:51:06,66.5,25.7167,13.41,92,100,2.3
135,Muros,ES,2022-11-17 00:51:06,42.7762,-9.0603,61.09,82,100,14.88
136,Bitkine,TD,2022-11-17 00:51:07,11.9801,18.2138,73.15,28,10,6.62
137,Altamira,BR,2022-11-17 00:47:15,-3.2033,-52.2064,79.43,63,66,1.83
138,Nkhotakota,MW,2022-11-17 00:52:07,-12.9274,34.2961,76.59,71,2,6.78
139,Yellowknife,CA,2022-11-17 00:48:31,62.456,-114.3525,0.12,92,75,5.75
140,Sao Filipe,CV,2022-11-17 00:52:08,14.8961,-24.4956,77.43,69,89,1.77
141,Port Hardy,CA,2022-11-17 00:52:08,50.6996,-127.4199,41.18,87,40,2.3
142,Beatrice,US,2022-11-17 00:52:07,40.2681,-96.747,22.98,63,0,3.44
143,Nanyamba,TZ,2022-11-17 00:52:09,-10.6833,39.8333,69.03,97,25,2.19
144,Libertador General San Martin,AR,2022-11-17 00:52:10,-23.8064,-64.7876,83.97,45,82,3.76
145,Atikokan,CA,2022-11-17 00:52:10,48.7555,-91.6216,18.72,99,95,2.33
146,Norman Wells,CA,2022-11-17 00:52:10,65.282,-126.8329,5.04,85,75,0.0
147,Port Blair,IN,2022-11-17 00:52:11,11.6667,92.75,75.24,94,75,2.3
148,Yanam,IN,2022-11-17 00:52:11,16.7333,82.2167,65.48,76,100,3.71
149,Sinnamary,GF,2022-11-17 00:52:12,5.3833,-52.95,78.53,83,100,8.7
150,Kodiak,US,2022-11-17 00:52:12,57.79,-152.4072,44.11,93,100,14.97
151,Nantucket,US,2022-11-17 00:52:13,41.2835,-70.0995,47.14,82,100,25.95
152,Kingman,US,2022-11-17 00:52:13,35.1894,-114.053,51.19,21,0,3.0
153,Keetmanshoop,NA,2022-11-17 00:52:14,-26.5833,18.1333,63.63,43,1,8.19
154,Khatanga,RU,2022-11-17 00:52:14,71.9667,102.5,-27.71,100,94,5.1
155,Kudahuvadhoo,MV,2022-11-17 00:52:15,2.6708,72.8944,81.3,75,100,11.7
156,Teguldet,RU,2022-11-17 00:52:15,57.3064,88.1667,24.17,90,98,8.16
157,Olafsvik,IS,2022-11-17 00:52:16,64.8945,-23.7142,44.19,75,71,23.53
158,Coquimbo,CL,2022-11-17 00:48:08,-29.9533,-71.3436,58.73,94,0,6.91
159,Murray Bridge,AU,2022-11-17 00:52:16,-35.1167,139.2667,66.34,44,0,7.74
160,Bongaree,AU,2022-11-17 00:52:17,-27.0797,153.1586,74.05,33,7,8.61
161,Laje,BR,2022-11-17 00:52:17,-10.1833,-40.9667,77.5,65,87,3.62
162,Te Anau,NZ,2022-11-17 00:52:18,-45.4167,167.7167,60.82,79,100,2.84
163,Sao Jose Da Coroa Grande,BR,2022-11-17 00:52:16,-8.8978,-35.1478,76.26,84,11,5.37
164,Mar Del Plata,AR,2022-11-17 00:52:04,-38.0023,-57.5575,64.42,88,0,2.3
165,Chattanooga,US,2022-11-17 00:50:05,35.0456,-85.3097,41.99,70,8,1.99
166,Tuatapere,NZ,2022-11-17 00:52:19,-46.1333,167.6833,61.65,81,100,5.21
167,Lompoc,US,2022-11-17 00:52:19,34.6391,-120.4579,66.34,44,40,8.05
168,Przasnysz,PL,2022-11-17 00:52:19,53.0191,20.8803,37.38,75,98,14.05
169,Sitka,US,2022-11-17 00:52:20,57.0531,-135.33,49.89,76,0,0.0
170,Opuwo,NA,2022-11-17 00:52:21,-18.0607,13.84,75.76,34,100,9.95
171,Saldanha,ZA,2022-11-17 00:52:21,-33.0117,17.9442,55.45,77,89,15.41
172,Arraial Do Cabo,BR,2022-11-17 00:52:22,-22.9661,-42.0278,73.36,73,75,12.66
173,Salalah,OM,2022-11-17 00:52:22,17.0151,54.0924,73.45,72,5,2.75
174,Cabo San Lucas,MX,2022-11-17 00:52:06,22.8909,-109.9124,79.52,66,100,1.01
175,Narsaq,GL,2022-11-17 00:51:42,60.9167,-46.05,5.65,91,46,6.51
176,Nome,US,2022-11-17 00:52:23,64.5011,-165.4064,31.15,80,100,19.57
177,Altay,CN,2022-11-17 00:52:24,47.8667,88.1167,29.32,66,100,13.42
178,Kruisfontein,ZA,2022-11-17 00:52:24,-34.0033,24.7314,56.8,70,100,6.85
179,Ola,RU,2022-11-17 00:52:24,59.5833,151.2833,2.14,87,99,8.66
180,Axim,GH,2022-11-17 00:52:25,4.8699,-2.2405,77.58,85,87,6.02
181,Durango,MX,2022-11-17 00:48:37,24.8333,-104.8333,57.96,33,9,3.44
182,Rosarito,MX,2022-11-17 00:53:26,32.3333,-117.0333,69.93,20,0,19.37
183,Tual,ID,2022-11-17 00:51:45,-5.6667,132.75,83.44,74,100,8.16
184,Nouadhibou,MR,2022-11-17 00:53:09,20.931,-17.0347,73.38,53,0,14.97
185,Dzhebariki-Khaya,RU,2022-11-17 00:53:27,62.2167,135.8,-35.63,96,49,0.54
186,Kota Kinabalu,MY,2022-11-17 00:51:56,5.9749,116.0724,80.58,83,20,5.99
187,Kpandae,GH,2022-11-17 00:53:27,8.4689,-0.0113,74.41,48,10,0.65
188,Tonota,BW,2022-11-17 00:53:28,-21.4833,27.4833,71.22,41,0,3.96
189,Neudorfl,AT,2022-11-17 00:53:29,47.7833,16.2833,48.56,95,39,1.9
190,Korla,CN,2022-11-17 00:53:29,41.7597,86.1469,38.17,48,100,5.37
191,Segezha,RU,2022-11-17 00:53:29,63.7415,34.3222,31.23,91,61,8.43
192,Beloha,MG,2022-11-17 00:53:30,-25.1667,45.05,65.86,89,0,4.54
193,Esperance,AU,2022-11-17 00:53:30,-33.8667,121.9,70.92,52,6,10.69
194,Kununurra,AU,2022-11-17 00:53:31,-15.7667,128.7333,80.58,78,43,5.75
195,Krasnotorka,UA,2022-11-17 00:53:31,48.682,37.5327,42.21,89,100,5.32
196,Hilo,US,2022-11-17 00:53:32,19.7297,-155.09,82.26,86,100,5.75
197,Clovis,US,2022-11-17 00:53:32,36.8252,-119.7029,62.8,45,0,2.06
198,Fort Nelson,CA,2022-11-17 00:49:32,58.8053,-122.7002,21.94,57,40,2.3
199,Tyulyachi,RU,2022-11-17 00:53:33,55.8913,50.2399,17.74,95,99,6.31
200,Lorengau,PG,2022-11-17 00:53:33,-2.0226,147.2712,85.15,57,99,7.36
201,Vardo,NO,2022-11-17 00:53:33,70.3705,31.1107,35.58,48,75,13.8
202,Varzea Da Palma,BR,2022-11-17 00:53:34,-17.5981,-44.7308,70.2,86,68,1.7
203,Belluno,IT,2022-11-17 00:53:34,46.145,12.2214,50.31,95,47,1.01
204,San Ramon,US,2022-11-17 00:53:34,37.7799,-121.978,62.76,36,0,4.61
205,Kloulklubed,PW,2022-11-17 00:53:35,7.0419,134.2556,79.3,79,100,15.97
206,Porto Novo,BJ,2022-11-17 00:53:35,6.4965,2.6036,82.22,84,100,5.73
207,Yeppoon,AU,2022-11-17 00:49:44,-23.1333,150.7333,83.98,32,54,7.34
208,North Platte,US,2022-11-17 00:53:36,41.1239,-100.7654,37.11,60,99,1.01
209,Siuna,NI,2022-11-17 00:53:36,13.7332,-84.7773,71.87,97,83,3.94
210,Panagar,IN,2022-11-17 00:53:37,23.3,79.9833,59.63,59,0,1.41
211,Amazar,RU,2022-11-17 00:53:37,53.858,120.875,15.19,89,100,1.88
212,Cloquet,US,2022-11-17 00:53:37,46.7216,-92.4594,29.61,87,100,5.75
213,Tiksi,RU,2022-11-17 00:53:38,71.6872,128.8694,-20.85,99,96,3.69
214,Klaksvik,FO,2022-11-17 00:53:38,62.2266,-6.589,50.92,89,93,35.14
215,Kieta,PG,2022-11-17 00:53:39,-6.2167,155.6333,85.5,61,99,4.5
216,Waipawa,NZ,2022-11-17 00:53:39,-41.4122,175.5153,62.24,86,100,4.74
217,Yulara,AU,2022-11-17 00:49:33,-25.2406,130.9889,77.04,45,23,17.34
218,Avera,US,2022-11-17 00:53:40,33.194,-82.5271,49.51,49,100,11.7
219,Monywa,MM,2022-11-17 00:53:40,22.1167,95.1333,66.96,78,0,5.48
220,Sibu,MY,2022-11-17 00:53:40,2.3,111.8167,79.11,88,20,3.44
221,Half Moon Bay,US,2022-11-17 00:53:41,37.4636,-122.4286,64.26,42,0,12.66
222,Maceio,BR,2022-11-17 00:53:41,-9.6658,-35.7353,76.44,94,40,3.44
223,La Asuncion,VE,2022-11-17 00:53:42,11.0333,-63.8628,89.33,70,100,12.66
224,Kachkanar,RU,2022-11-17 00:53:42,58.7,59.4948,0.03,97,71,0.92
225,Houma,US,2022-11-17 00:52:44,29.5958,-90.7195,48.99,79,0,9.22
226,Strezhevoy,RU,2022-11-17 00:53:43,60.7333,77.5889,-8.84,93,25,5.08
227,Benalla,AU,2022-11-17 00:53:43,-36.55,145.9833,58.86,48,6,4.45
228,Acapulco,MX,2022-11-17 00:49:34,16.8634,-99.8901,79.57,82,6,4.09
229,Namibe,AO,2022-11-17 00:53:44,-15.1961,12.1522,69.1,79,100,9.44
230,Selikhino,RU,2022-11-17 00:54:44,50.3672,137.4996,23.92,80,100,10.0
231,Ketchikan,US,2022-11-17 00:54:44,55.3422,-131.6461,43.75,88,0,6.08
232,Wanning,CN,2022-11-17 00:54:45,18.8003,110.3967,78.78,88,37,7.2
233,Petropavlovsk-Kamchatskiy,RU,2022-11-17 00:54:45,53.0452,158.6483,19.99,53,0,6.71
234,Gao,ML,2022-11-17 00:54:46,16.6362,1.637,69.39,15,90,10.85
235,Bonthe,SL,2022-11-17 00:54:46,7.5264,-12.505,76.75,82,44,0.92
236,Popondetta,PG,2022-11-17 00:54:46,-8.7537,148.2534,91.17,52,91,6.26
237,Havoysund,NO,2022-11-17 00:54:47,70.9963,24.6622,43.03,67,9,13.49
238,Lima,PE,2022-11-17 00:54:47,-12.0432,-77.0282,65.89,80,0,16.11
239,Komsomolskiy,UZ,2022-11-17 00:54:48,40.4272,71.7189,38.12,75,7,0.0
240,Castro,BR,2022-11-17 00:54:48,-24.7911,-50.0119,56.77,86,0,6.24
241,Amos,CA,2022-11-17 00:54:48,48.5669,-78.1162,20.91,91,100,6.35
242,Santa Pola,ES,2022-11-17 00:54:49,38.1917,-0.5658,69.17,69,20,5.75
243,Kukshi,IN,2022-11-17 00:54:49,22.2,74.75,67.15,43,0,3.42
244,Marfino,RU,2022-11-17 00:53:03,55.7028,37.3822,24.94,92,100,4.47
